PERMNO,date,SHRCD,EXCHCD,PERMCO,DLPRC,DLRET,RET,SHROUT
89468,2003-12-03,73,2,37493,,,-0.004019,4300
89468,2003-12-04,73,2,37493,,,0.002255,4300
89468,2003-12-05,73,2,37493,,,0.015986,4300
89468,2003-12-08,73,2,37493,,,-0.006993,4300
89468,2003-12-09,73,2,37493,,,-0.007042,4300
89468,2003-12-10,73,2,37493,,,0.001655,4300
89468,2003-12-11,73,2,37493,,,0.007198,4300
89468,2003-12-12,73,2,37493,,,0.001875,4300
89468,2003-12-15,73,2,37493,,,-0.000585,4300
89468,2003-12-16,73,2,37493,,,0.003276,4300
89468,2003-12-17,73,2,37493,,,0.006765,4300
89468,2003-12-18,73,2,37493,,,0.009036,4300
89468,2003-12-19,73,2,37493,,,-0.000344,4300
89468,2003-12-22,73,2,37493,,,-0.002756,4300
89468,2003-12-23,73,2,37493,,,-0.011286,4300
89468,2003-12-24,73,2,37493,,,0.009435,4300
89468,2003-12-26,73,2,37493,,,0.003693,4300
89468,2003-12-29,73,2,37493,,,-0.008968,4300
89468,2003-12-30,73,2,37493,,,-0.004060,4300
89468,2003-12-31,73,2,37493,,,-0.000003,3300
89468,2004-01-02,73,2,37493,,,-0.011820,3300
89468,2004-01-05,73,2,37493,,,-0.002605,3300
89468,2004-01-06,73,2,37493,,,0.011043,3300
89468,2004-01-07,73,2,37493,,,0.003993,3300
89468,2004-01-08,73,2,37493,,,-0.000351,3300
89468,2004-01-09,73,2,37493,,,0.017435,3300
89468,2004-01-12,73,2,37493,,,-0.000805,3300
89468,2004-01-13,73,2,37493,,,0.006791,3300
89468,2004-01-14,73,2,37493,,,0.004916,3300
89468,2004-01-15,73,2,37493,,,0.003754,3300
89468,2004-01-16,73,2,37493,,,-0.007027,3300
89468,2004-01-20,73,2,37493,,,-0.000228,3300
89468,2004-01-21,73,2,37493,,,0.002398,3300
89468,2004-01-22,73,2,37493,,,0.007289,3300
89468,2004-01-23,73,2,37493,,,-0.011986,3300
89468,2004-01-26,73,2,37493,,,-0.006065,3300
89468,2004-01-27,73,2,37493,,,0.006218,3300
89468,2004-01-28,73,2,37493,,,-0.008811,3300
89468,2004-01-29,73,2,37493,,,-0.002078,3300
89468,2004-01-30,73,2,37493,,,0.006941,2700
89468,2004-02-02,73,2,37493,,,-0.002090,2700
89468,2004-02-03,73,2,37493,,,0.005087,2700
89468,2004-02-04,73,2,37493,,,-0.001955,2700
89468,2004-02-05,73,2,37493,,,-0.003918,2700
89468,2004-02-06,73,2,37493,,,0.010992,2700
89468,2004-02-09,73,2,37493,,,0.002976,2700
89468,2004-02-10,73,2,37493,,,-0.005591,2700
89468,2004-02-11,73,2,37493,,,0.007458,2700
89468,2004-02-12,73,2,37493,,,-0.004214,2700
89468,2004-02-13,73,2,37493,,,0.004232,2700
89468,2004-02-17,73,2,37493,,,-0.000683,2700
89468,2004-02-18,73,2,37493,,,0.001368,2700
89468,2004-02-19,73,2,37493,,,0.001024,2700
89468,2004-02-20,73,2,37493,,,-0.006936,2700
89468,2004-02-23,73,2,37493,,,0.006183,2700
89468,2004-02-24,73,2,37493,,,0.001821,2700
89468,2004-02-25,73,2,37493,,,0.001590,2700
89468,2004-02-26,73,2,37493,,,-0.003175,2700
89468,2004-02-27,73,2,37493,,,0.008646,2000
89468,2004-03-01,73,2,37493,,,-0.000388,2000
89468,2004-03-02,73,2,37493,,,-0.006344,2000
89468,2004-03-03,73,2,37493,,,-0.001824,2000
89468,2004-03-04,73,2,37493,,,0.004455,2000
89468,2004-03-05,73,2,37493,,,0.019331,2000
89468,2004-03-08,73,2,37493,,,0.005913,2000
89468,2004-03-09,73,2,37493,,,0.006654,2000
89468,2004-03-10,73,2,37493,,,-0.000661,2000
89468,2004-03-11,73,2,37493,,,0.001433,2000
89468,2004-03-12,73,2,37493,,,-0.006165,2000
89468,2004-03-15,73,2,37493,,,0.001662,2000
89468,2004-03-16,73,2,37493,,,0.008294,2000
89468,2004-03-17,73,2,37493,,,-0.001645,2000
89468,2004-03-18,73,2,37493,,,-0.005273,2000
89468,2004-03-19,73,2,37493,,,-0.001325,2000
89468,2004-03-22,73,2,37493,,,0.006082,2000
89468,2004-03-23,73,2,37493,,,0.001759,2000
89468,2004-03-24,73,2,37493,,,-0.000549,2000
89468,2004-03-25,73,2,37493,,,-0.003842,2000
89468,2004-03-26,73,2,37493,,,-0.010580,2000
89468,2004-03-29,73,2,37493,,,-0.006683,2000
89468,2004-03-30,73,2,37493,,,-0.000673,2000
89468,2004-03-31,73,2,37493,,,0.004825,2400
89468,2004-04-01,73,2,37493,,,-0.003261,2400
89468,2004-04-02,73,2,37493,,,-0.024744,2400
89468,2004-04-05,73,2,37493,,,-0.007842,2400
89468,2004-04-06,73,2,37493,,,0.005463,2400
89468,2004-04-07,73,2,37493,,,-0.002312,2400
89468,2004-04-08,73,2,37493,,,-0.002897,2400
89468,2004-04-12,73,2,37493,,,-0.003603,2400
89468,2004-04-13,73,2,37493,,,-0.010847,2400
89468,2004-04-14,73,2,37493,,,-0.000825,2400
89468,2004-04-15,73,2,37493,,,-0.005900,2400
89468,2004-04-16,73,2,37493,,,0.003799,2400
89468,2004-04-19,73,2,37493,,,-0.002129,2400
89468,2004-04-20,73,2,37493,,,-0.009125,2400
89468,2004-04-21,73,2,37493,,,0.004904,2400
89468,2004-04-22,73,2,37493,,,0.005951,2400
89468,2004-04-23,73,2,37493,,,-0.005679,2400
89468,2004-04-26,73,2,37493,,,0.001666,2400
89468,2004-04-27,73,2,37493,,,0.003801,2400
89468,2004-04-28,73,2,37493,,,-0.009349,2400
89468,2004-04-29,73,2,37493,,,-0.004898,2400
89468,2004-04-30,73,2,37493,,,0.004082,2500
89468,2004-05-03,73,2,37493,,,0.001257,2500
89468,2004-05-04,73,2,37493,,,-0.006833,2500
89468,2004-05-05,73,2,37493,,,-0.002776,2500
89468,2004-05-06,73,2,37493,,,-0.002663,2500
89468,2004-05-07,73,2,37493,,,-0.013107,2500
89468,2004-05-10,73,2,37493,,,-0.002336,2500
89468,2004-05-11,73,2,37493,,,0.004561,2500
89468,2004-05-12,73,2,37493,,,-0.006626,2500
89468,2004-05-13,73,2,37493,,,-0.003829,2500
89468,2004-05-14,73,2,37493,,,0.008183,2500
89468,2004-05-17,73,2,37493,,,0.008855,2500
89468,2004-05-18,73,2,37493,,,-0.003901,2500
89468,2004-05-19,73,2,37493,,,-0.003304,2500
89468,2004-05-20,73,2,37493,,,0.007736,2500
89468,2004-05-21,73,2,37493,,,-0.004021,2500
89468,2004-05-24,73,2,37493,,,0.003181,2500
89468,2004-05-25,73,2,37493,,,0.002927,2500
89468,2004-05-26,73,2,37493,,,0.005350,2500
89468,2004-05-27,73,2,37493,,,0.007862,2500
89468,2004-05-28,73,2,37493,,,-0.002760,7000
89468,2004-06-01,73,2,37493,,,-0.009127,7000
89468,2004-06-02,73,2,37493,,,-0.002560,7000
89468,2004-06-03,73,2,37493,,,0.002078,7000
89468,2004-06-04,73,2,37493,,,-0.005855,7000
89468,2004-06-07,73,2,37493,,,0.000245,7000
89468,2004-06-08,73,2,37493,,,0.001840,7000
89468,2004-06-09,73,2,37493,,,-0.004286,7000
89468,2004-06-10,73,2,37493,,,0.001968,7000
89468,2004-06-14,73,2,37493,,,-0.007977,7000
89468,2004-06-15,73,2,37493,,,0.021155,7000
89468,2004-06-16,73,2,37493,,,-0.003877,7000
89468,2004-06-17,73,2,37493,,,0.006568,7000
89468,2004-06-18,73,2,37493,,,-0.002175,7000
89468,2004-06-21,73,2,37493,,,0.000727,7000
89468,2004-06-22,73,2,37493,,,-0.003025,7000
89468,2004-06-23,73,2,37493,,,0.001942,7000
89468,2004-06-24,73,2,37493,,,0.006057,7000
89468,2004-06-25,73,2,37493,,,0.000963,7000
89468,2004-06-28,73,2,37493,,,-0.010225,7000
89468,2004-06-29,73,2,37493,,,0.006320,7000
89468,2004-06-30,73,2,37493,,,0.010266,4800
89468,2004-07-01,73,2,37493,,,0.001865,4800
89468,2004-07-02,73,2,37493,,,0.010543,4800
89468,2004-07-06,73,2,37493,,,-0.001660,4800
89468,2004-07-07,73,2,37493,,,0.000356,4800
89468,2004-07-08,73,2,37493,,,0.000594,4800
89468,2004-07-09,73,2,37493,,,0.001068,4800
89468,2004-07-12,73,2,37493,,,0.001422,4800
89468,2004-07-13,73,2,37493,,,-0.002959,4800
89468,2004-07-14,73,2,37493,,,0.000356,4800
89468,2004-07-15,73,2,37493,,,0.001068,4800
89468,2004-07-16,73,2,37493,,,0.013275,4800
89468,2004-07-19,73,2,37493,,,0.000702,4800
89468,2004-07-20,73,2,37493,,,-0.009001,4800
89468,2004-07-21,73,2,37493,,,-0.002713,4800
89468,2004-07-22,73,2,37493,,,0.001419,4800
89468,2004-07-23,73,2,37493,,,0.003307,4800
89468,2004-07-26,73,2,37493,,,-0.004709,4800
89468,2004-07-27,73,2,37493,,,-0.013483,4800
89468,2004-07-28,73,2,37493,,,0.000120,4800
